
2025-06-25 06:51:09 - Current Artist MP3 not found: 'Rav Mordechai Lebhar', Source FILENAME: 'G:\Shiurim\R Mordechai Lebhar\R' Mordechai Lebhar - The power of Tzedaka_ The story of Aharon Aflalo z”l and how his actions impacted generations to come M.mp3'
2025-06-25 13:36:33 - Current Artist MP3 not found: 'Rav Sipper', Source FILENAME: 'G:\Shiurim\R Sipper\Torah Anywhere - Rabbi Y Sipper\11 יהושע פ_ו - the walls of יריחו that were swallowed into the ground.mp3'
2025-06-26 00:14:30 - Current Artist MP3 not found: 'Rav Kaminetsky', Source FILENAME: 'G:\Shiurim\R Shmuel Kaminetsky\Clips תענית\תקע''א should a person fast for כפרה M.mp3'
2025-06-26 03:08:36 - Current Artist MP3 not found: 'R Ezra Zafrani Shlita', Source FILENAME: 'G:\Shiurim\R Ezra Zafrani Shlita\R Ezra Zafrani    קורח.mp3'
2025-06-26 05:53:14 - Current Artist MP3 not found: 'Rav Daniel Kalish', Source FILENAME: 'G:\Shiurim\R Daniel Kalish\rabbi_daniel_kalish_eradicating-stress-and-anger-from-the-home H.mp3'
2025-06-26 11:08:11 - Current Artist MP3 not found: 'R shoshan', Source FILENAME: 'G:\Music\Approved 10 teives from C documents\Approved 10 teives 5783 NIGGUNIM 6\R shushan\Uzchor es boracha bimei bachurosecha.mp3'
2025-06-26 12:42:18 - Current Artist MP3 not found: 'Rav Sipper', Source FILENAME: 'G:\Shiurim\R Sipper\Torah Anywhere - Rabbi Y Sipper\34 יהושע פרק י_א – more about the נפילים H.mp3'
2025-06-27 01:29:54 - Current Artist MP3 not found: 'Rosh Kislev', Source FILENAME: 'G:\Music\Approved 10 teives from C documents\Approved 10 teives 5783 NIGGUNIM 6\New niggunim Teives 5783\chabad\01 - ניגון רח' כסליו.MP3'
2025-06-27 02:08:20 - Current Artist MP3 not found: 'Rav Yanuka', Source FILENAME: 'G:\Shiurim\R Yanuka\הגאון הינוקא - שמירת הלשון וחומרת החושד בכשרים - Harav Shlomo Yehuda Beery - the Yanuka - 39082062 M.mp3'
2025-06-27 06:25:59 - Current Artist MP3 not found: 'Rav Naftali Beer', Source FILENAME: 'G:\Shiurim\Dopplet 3 weeks\Kol Halashon\Beer,  Harav Naftali\Yona, יונה, 7 M.mp3'
